year,state,state_name,summary,duration_seconds
2022,CA,California,"Angular shaped vessel, bright lights surrounding it at the top.",240
2022,FL,Florida,I was filming the launch of the SpaceX capsule and saw the Object below the space X rocket,360
2022,MI,Michigan,Flew right over the road,10
2022,FL,Florida,Black triangle craft with 3 dull white lights at each point,15
2022,CA,California,Black triangle hovering silently approximately 100 ft above ground,17
2022,FL,Florida,"1craft was definitely triangle, the other was just a bright light.",240
2022,OK,Oklahoma,Very large metal shinning the reflection of sun triangle UFO.,60
2022,MO,Missouri,Bright triangle shape flying around,900
2022,RI,Rhode Island,Ufo interacting with plane,300
2022,KY,Kentucky,We was out riding our ATV through the field and seen something strange flying toward us then slowly flew away,1200
2022,OH,Ohio,"Three amber lights spinning slowly, made a full rotation then individually turned off",20
2022,NE,Nebraska,Massive/close row of non blinking lights gliding slowly and disappearing into Big Dipper this wasnt the satellites weve seen those,120
2022,CA,California,"Three large, low-hovering bright triangle shaped crafts.",90
2022,UT,Utah,Cloaked triangle,1800
2022,CO,Colorado,Dark triangle in the east sky,120
2022,ME,Maine,Direct overhead fly over with good video,180
2022,CT,Connecticut,2 craft flying side by side,180
2022,FL,Florida,"Coming home from WDW, we observed a hovering object",300
2022,NY,New York,Three red lights in front of clouds,30
2022,GA,Georgia,Saw large triangle hovering right below moon,360
2022,MN,Minnesota,"It was the OUTLINE of an irregular shaped triangle, made up of bright red light, moving low in the sky.",7
2022,AZ,Arizona,"200 ft above ground, size of Cessna, silent, fixed wings, heading North towards Rio Verde",5
2022,KY,Kentucky,"Three lights in a triangle , not blinking, fast moving.",10
2022,CA,California,3 linear lights approx. 600' across 100'-300' off the ground,120
2022,VA,Virginia,It was too big to be going that slow and low in the sky. I stood at the window' do not remember seeing it pass over house?,180
2022,CO,Colorado,"Very large scale, fast moving, dim lights in triangle shape flew over from East to West.",5
2022,ID,Idaho,Saw a slow moving large object that was silent.,180
2022,PA,Pennsylvania,Lights; triangle shaped fast than slow,10
2022,MA,Massachusetts,3 points of light in a massive triangle moving together,45
2022,TN,Tennessee,We were driving home and at first we thought it was a plane upon getting closer we both observed the object litteraly hovering,300
2022,PA,Pennsylvania,A triangle aircraft maneuvering in ways I've never seen in any military aircraft whatsoever,600
2022,PA,Pennsylvania,"Very bright lights on triangle craft, completely silent, steady speed coming in our direction, got close to use then disappeared",180
2022,MA,Massachusetts,"Triangular craft, later 2 orbs",360
2022,MI,Michigan,A blur flew by house and tried to hide with stars but it couldn't maintain as a star ..it changed from 1 light to numerous lights,14400
2022,KY,Kentucky,Low slow flying triangle with red and white lights pulsating irregularly and had light humming sound barely heard,30
2022,PA,Pennsylvania,"fast moving object, from east to west at 8:: 30 am",5
2022,WA,Washington,Shapeshifting light morphs into triangle,8
2022,KS,Kansas,I saw blue lights that were in the shape of a triangle with a tail and some weird symbol on the front in formation.,120
2022,ME,Maine,"Observed large rectangular lights blinking sequentially along two edges perpendicular to each other, about eight or so lights per edge.",300
2022,CA,California,Possible triangle shaped object comprised of amber orange orb lights flying south along the coastline through clouds,30
2022,FL,Florida,"One triangle, 3 orbs above, 3 below, 3 behind.",1200
2022,FL,Florida,Triangle shaped UFO passing over my apartment.,41
2022,WA,Washington,Undulating red & orange light tumbling triangle or pyramid,300
2022,AZ,Arizona,Two triangle drone looking aircraft with blue lights,60
2022,SC,South Carolina,Observed a single light not blinking with a Silhouette black that appeared to be in the shape of a Triangle,300
2022,NY,New York,Was looking at a passing jetliner,600
2022,NC,North Carolina,Silent triangular craft seen flying over Raleigh,90
2022,FL,Florida,Large triangle with lights hovering at tree level,10
